Rank	Feature	Name	r
1229	PF02441.19	Flavoprotein	0.6222874118544521
872	EC4.1.1.55	4,5-dihydroxyphthalate decarboxylase	0.6219556062739164
1605	PF06406.11	StbA	0.6217695470698776
2785	PF03594.13	BenE	0.6210625220945305
917	PF10568.9	Tom37	0.6208020392088763
58	EC1.1.5.4	malate dehydrogenase (quinone)	-0.6207865342752064
3963	PF04675.14	DNA_ligase_A_N	0.6182747350206836
1539	PF00042.22	Globin	0.618215816272738
3691	PF01724.16	DUF29	0.613976767407389
317	PF07237.11	DUF1428	0.6139426565533154
1271	PF17171.4	GST_C_6	0.6122681237169667
1041	PF08837.11	DUF1810	0.611083546784587
225	PF02735.16	Ku	0.6057033348011338
1155	PF01544.18	CorA	0.6053467213267263
6592	PF02551.15	Acyl_CoA_thio	0.6031543237058032
1929	PF00271.31	Helicase_C	0.6014921948163907
4199	PF10396.9	TrmE_N	0.6011603892358549
37	PF02310.19	B12-binding	0.6009216132573385
2335	PF10400.9	Vir_act_alpha_C	-0.5995757850147917
4053	PF04519.13	Bactofilin	0.5986175801139922
5522	PF05957.13	DUF883	0.597646971266257
2519	PF11862.8	DUF3382	-0.5973213676591892
6728	PF02675.15	AdoMet_dc	-0.5971849242428942
2227	PF04909.14	Amidohydro_2	0.5969058354368361
5164	PF00580.21	UvrD-helicase	0.596608140710374
31	PF13186.6	SPASM	0.5934296293080459
12	EC2.4.1.1	glycogen phosphorylase	0.5928590477489937
927	PF17203.4	sCache_3_2	0.592818734921452
863	PF00343.20	Phosphorylase	0.591665167856412
3783	PF06995.11	Phage_P2_GpU	-0.5888091590744176
1079	PF06418.14	CTP_synth_N	0.5884990604010197
1611	PF17723.1	RHH_8	0.5881703558072179
1025	PF01874.16	CitG	0.5880649222582626
70	EC1.17.1.4	xanthine dehydrogenase	0.5879904985766471
2317	PF08273.12	Prim_Zn_Ribbon	0.5878602571338201
1091	PF03631.15	Virul_fac_BrkB	0.5877796314787366
1237	PF05119.12	Terminase_4	0.5877734295052687
2017	PF09821.9	AAA_assoc_C	-0.5872152518931525
2089	PF06271.12	RDD	0.5866539732943024
63	PF00781.24	DAGK_cat	0.5859097364781474
4481	PF05929.11	Phage_GPO	-0.5857422831945125
1324	EC1.10.3.14	ubiquinol oxidase (electrogenic, proton-motive force generating)	-0.5854476894547845
4045	PF14326.6	DUF4384	0.5851530957150566
2867	PF09557.10	DUF2382	0.5837173388572244
1797	PF01144.23	CoA_trans	0.5826878112615435
888	EC4.1.1.104	3-dehydro-4-phosphotetronate decarboxylase	0.5825203579779087
567	PF04239.12	DUF421	0.5821017247688215
7651	PF03713.13	DUF305	0.5815311432097694
581	PF02629.19	CoA_binding	0.5794100682837279
593	PF13085.6	Fer2_3	0.5777448384075814
1913	PF06068.13	TIP49	0.5775897890708823
27	PF06228.13	ChuX_HutX	-0.5768889660690032
4153	PF04228.13	Zn_peptidase	0.5768300473210576
7657	PF04344.13	CheZ	0.5752423421132605
147	PF00180.20	Iso_dh	0.5747585881827598
7441	PF06182.11	ABC2_membrane_6	-0.5732794175106519
4461	PF13628.6	DUF4142	0.5713040889611075
1027	PF05171.12	HemS	-0.5708978596989562
2219	PF07007.12	LprI	-0.5702652584052246
1100	EC1.14.12.7	phthalate 4,5-dioxygenase	0.5701443199225994
3593	PF04295.13	GD_AH_C	0.5701226130154615
10	EC2.2.1.6	acetolactate synthase	0.5693566692921688
111	PF01590.26	GAF	0.5679054075006668
62	EC2.5.1.1	dimethylallyltranstransferase	0.567133261803906
3709	PF06779.14	MFS_4	0.566699123661149
1054	EC1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	0.5658804631633786
563	PF14833.6	NAD_binding_11	0.5654153151532818
477	PF03200.16	Glyco_hydro_63	0.5647082901779347
18	EC1.14.12.17	nitric oxide dioxygenase	0.5638524178393566
1261	PF12344.8	UvrB	0.5636446517281799
488	EC1.1.1.60	2-hydroxy-3-oxopropionate reductase	0.5627918803763359
4637	PF16931.5	Phage_holin_8	-0.5626864468273806
345	PF13946.6	DUF4214	-0.5609126824155447
4028	PF11845.8	DUF3365	0.5607266232115059
181	PF06433.11	Me-amine-dh_H	0.5593931989158951
7146	PF11394.8	DUF2875	-0.5593590880618212
632	EC1.1.1.86	ketol-acid reductoisomerase (NADP+)	0.5593497851016194
6105	PF09586.10	YfhO	0.5591482209639108
701	PF00456.21	Transketolase_N	0.5590334844547535
117	PF14305.6	ATPgrasp_TupA	0.5584598019089674
3573	PF04350.13	PilO	0.5570488529450072
5896	PF08939.10	DUF1917	0.5570054391307314
993	PF06054.11	CoiA	0.5564193526380095
3681	PF09176.11	Mpt_N	0.5561991825798969
198	EC6.3.4.2	CTP synthase (glutamine hydrolysing)	0.5558456700922234
3789	PF11745.8	DUF3304	-0.5553836230688606
1426	EC4.2.1.153	3-methylfumaryl-CoA hydratase	-0.5539726741049003
659	PF02746.16	MR_MLE_N	0.5538982504232848
3239	PF02211.15	NHase_beta	0.5518981139798684
3045	PF16957.5	Mal_decarbox_Al	0.5511600791371816
3747	PF02955.16	GSH-S_ATP	0.550660820273011
4597	PF08331.10	DUF1730	0.550217379170052
801	PF04717.12	Phage_base_V	-0.5498421597752404
3379	PF02028.17	BCCT	-0.5462202072699534
1339	PF01575.19	MaoC_dehydratas	0.5454697684803305
5412	PF08364.11	IF2_assoc	0.5450573372447113
2517	PF14281.6	PDDEXK_4	0.5444185339775117
5241	PF16197.5	KAsynt_C_assoc	-0.5442975954948865
757	PF00941.21	FAD_binding_5	0.5434727330236482
1267	PF07088.11	GvpD	0.5420989959004956
21	PF01408.22	GFO_IDH_MocA	0.5419191386699248
1121	PF05067.12	Mn_catalase	0.5418788258423831
1066	EC3.5.1.126	oxamate amidohydrolase	0.5417113725587482
6501	PF14765.6	PS-DH	-0.5414446876996261
2175	PF09364.10	XFP_N	0.5409423278487215
8122	PF08896.10	DUF1842	-0.5408213893660964
3179	PF00128.24	Alpha-amylase	0.5392553910654371
6116	PF13245.6	AAA_19	0.5378785529555505
775	PF01315.22	Ald_Xan_dh_C	0.5369389539751549
378	EC2.7.3.9	phosphoenolpyruvate---protein phosphotransferase	0.5362288280130738
4249	PF18676.1	MBG_2	0.5359993549947594
3677	PF04760.15	IF2_N	0.5359900520345574
5593	PF04345.13	Chor_lyase	-0.5358132957907206
934	EC5.4.99.15	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase	-0.5356489434938199
5863	PF14354.6	Lar_restr_allev	0.5344302557073661
615	PF13607.6	Succ_CoA_lig	0.5341325609809041
2835	PF03446.15	NAD_binding_2	0.5337573415860927
2381	PF01977.16	UbiD	0.5333821221912813
1141	PF14905.6	OMP_b-brl_3	-0.5330875284515534
349	PF03088.16	Str_synth	0.5327557228710176
4471	PF14502.6	HTH_41	0.5326099764945207
661	PF02826.19	2-Hacid_dh_C	0.5324518261710877
2333	PF11284.8	DUF3085	-0.5323494936088664
2402	EC3.6.3.38	ABC-type capsular-polysaccharide transporter	-0.5318967495457054
4671	PF07642.11	BBP2	-0.531388187721333
4871	PF04247.12	SirB	0.531385086734599
2163	PF08006.11	DUF1700	-0.529921420996161
889	PF00270.29	DEAD	0.5296609381105067
41	PF05402.12	PqqD	0.5286159055811559
5128	PF00889.19	EF_TS	0.5284763611781269
1498	EC4.1.1.35	UDP-glucuronate decarboxylase	0.5283957355230434
3127	PF12631.7	MnmE_helical	0.5274282276620421
7093	PF17831.1	PDH_E1_M	0.5271212299753781
5519	PF13248.6	zf-ribbon_3	0.5270964220815063
1479	PF08442.10	ATP-grasp_2	0.5269847865590831
1135	PF02113.15	Peptidase_S13	0.5263645892122873
3521	PF16822.5	ALGX	-0.5259242490960624
8099	PF11336.8	DUF3138	-0.5249846501156669
313	PF00375.18	SDF	0.5239334156128481
4941	PF04166.12	PdxA	0.5236016100323123
3401	PF08239.11	SH3_3	-0.5234527626690814
321	PF00201.18	UDPGT	-0.5229007870304331
5221	PF13203.6	DUF2201_N	0.5219301781826978
6178	PF14107.6	DUF4280	0.5215425548409504
3247	PF13020.6	DUF3883	0.5206587736217664
5574	PF03562.17	MltA	0.5203021601473589
839	PF03741.16	TerC	0.5201098989698523
5843	PF11898.8	DUF3418	0.5189222210507384
297	PF02894.17	GFO_IDH_MocA_C	0.5174182424847588
382	EC2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase	-0.5170306191430113
5345	PF10118.9	Metal_hydrol	-0.5166553997482
1743	PF10605.9	3HBOH	0.5165344612655748
2087	PF14537.6	Cytochrom_c3_2	0.5162212616054428
2253	PF05489.12	Phage_tail_X	-0.5161933527248371
390	EC1.13.11.57	gallate dioxygenase	0.5150490886199989
2099	PF06739.11	SBBP	0.5146118494905079
94	EC2.2.1.1	transketolase	0.5145064159415527
649	PF13378.6	MR_MLE_C	0.5139451373427024
85	PF02779.24	Transket_pyr	0.5138210978733434
829	PF00685.27	Sulfotransfer_1	-0.5138210978733434
427	PF09363.10	XFP_C	0.5136908564305163
1033	PF09371.10	Tex_N	0.513427272558128
460	EC1.14.16.1	phenylalanine 4-monooxygenase	-0.5129528215878293
341	PF02272.19	DHHA1	0.5125403903522101
191	PF00498.26	FHA	0.512106252209453
3659	PF04463.12	DUF523	-0.5116380032126223
5157	PF03023.14	MurJ	0.5115852864381446
3469	PF11379.8	DUF3182	0.5101929433945882
1097	PF00920.21	ILVD_EDD	0.5099169555752641
1505	PF08530.10	PepX_C	-0.5099076526150621
501	PF13394.6	Fer4_14	0.5093370710560101
295	PF13579.6	Glyco_trans_4_4	0.5087850954173618
640	EC1.13.11.5	homogentisate 1,2-dioxygenase	0.5085773293061853
3177	PF04985.14	Phage_tube	-0.508478097730698
3895	PF13936.6	HTH_38	0.5083509572746048
3411	PF04613.14	LpxD	0.5083106444470631
5819	PF00698.21	Acyl_transf_1	-0.5081400901766943
1048	EC1.1.1.410	D-erythronate 2-dehydrogenase	0.5081214842562904
1381	PF03894.15	XFP	0.5081059793226205
2869	PF13391.6	HNH_2	0.5079602329461235
647	PF09537.10	DUF2383	0.5074609740819529
5787	PF01120.17	Alpha_L_fucos	-0.5072159961299686
2059	PF17757.1	UvrB_inter	0.5069555132443144
2622	EC1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	-0.5069400083106445
2133	PF00656.22	Peptidase_C14	0.5061771655740858
4291	PF11987.8	IF-2	0.5060159142639188
7067	PF06634.12	DUF1156	0.5051569409386067
7436	PF04465.12	DUF499	0.5051569409386067
296	EC2.3.1.79	maltose O-acetyltransferase	0.5049119629866223
5591	PF11737.8	DUF3300	0.5048747511458146
5377	PF01674.18	Lipase_2	-0.5040064748603006
2617	PF07497.12	Rho_RNA_bind	0.5039165462450151
335	PF13185.6	GAF_2	0.5035568317838737
155	PF01261.24	AP_endonuc_2	0.5025893239228723
99	PF08450.12	SGL	0.5023908607718977
478	EC3.1.3.16	protein-serine/threonine phosphatase	0.5020745601250318
1405	PF00389.30	2-Hacid_dh	0.5017892693455057
5774	PF14348.6	DUF4400	0.501752057504698
2105	PF08501.11	Shikimate_dh_N	0.5016869367832846
1533	PF00156.27	Pribosyltran	0.5012776065343992
2901	PF00246.24	Peptidase_M14	0.5012745055476653
1009	PF14742.6	GDE_N_bis	0.5009116900997898
266	EC2.7.2.8	acetylglutamate kinase	0.5000403128275418
5933	PF00358.20	PTS_EIIA_1	0.5000341108540738
541	PF05159.14	Capsule_synth	-0.49980773882249335
175	PF01411.19	tRNA-synt_2c	0.49956896284397695
93	PF01116.20	F_bP_aldolase	0.49921234936956943
612	EC3.5.1.125	N2-acetyl-L-2,4-diaminobutanoate deacetylase	0.49896116944411717
527	PF18267.1	Rubredoxin_C	0.4986820806380591
6648	PF09297.11	zf-NADH-PPase	0.49858595004930567
5356	PF09967.9	DUF2201	0.4983130632167156
1423	PF18024.1	HTH_50	-0.4980246714504556
1763	PF07729.12	FCD	0.4979192379015003
2429	PF06964.12	Alpha-L-AF_C	-0.49770216883012175
1679	PF04209.13	HgmA	0.49735485831591614
6609	PF09039.11	HTH_Tnp_Mu_2	-0.4973114445016405
2417	PF01171.20	ATP_bind_3	0.49525238931027854
1713	PF03372.23	Exo_endo_phos	0.49518106661539707
1799	PF01699.24	Na_Ca_ex	0.49494229063688067
707	PF13469.6	Sulfotransfer_3	-0.49465389887062067
379	PF06580.13	His_kinase	-0.4946197880165469
7178	PF11655.8	DUF2589	-0.49458567716247315
1613	PF10551.9	MULE	0.4945019505206557
1912	EC1.13.11.39	biphenyl-2,3-diol 1,2-dioxygenase	-0.49419185184725783
2187	PF04289.12	DUF447	0.49409882224523843
205	PF02979.16	NHase_alpha	0.49408331731156857
3065	PF01443.18	Viral_helicase1	0.4938011275187765
622	EC5.5.1.1	muconate cycloisomerase	0.4935127357525165
5432	PF16114.5	Citrate_bind	0.49344761503110296
3617	PF02607.17	B12-binding_2	0.4928243166975732
1	EC5.1.3.20	ADP-glyceromanno-heptose 6-epimerase	0.4925359249313132
6070	PF00977.21	His_biosynth	0.49248630914356956
7200	PF04226.13	Transgly_assoc	0.49225993711198907
3019	PF10397.9	ADSL_C	0.49211729172222607
533	PF02378.18	PTS_EIIC	0.49194053547838923
6255	PF13538.6	UvrD_C_2	0.4917916881151583
497	PF05096.12	Glu_cyclase_2	0.4917854861416903
3111	PF06187.11	DUF993	0.4911218749806189
7479	PF06904.12	Extensin-like_C	0.4910691582061413
1193	PF00753.27	Lactamase_B	0.4894442411575364
3133	PF18857.1	LPD38	-0.4893946253697927
3781	PF14072.6	DndB	0.4891093345902667
6029	PF15611.6	EH_Signature	0.48871861026178537
6030	PF06674.11	DUF1176	-0.4886813984209776
2295	PF01597.19	GCV_H	0.4880984129149896
5799	PF05742.12	TANGO2	0.48734487313863273
28	EC2.10.1.1	molybdopterin molybdotransferase	0.4868890280887379
6632	PF07419.12	PilM	-0.48636806231742946
5708	PF06480.15	FtsH_ext	0.48626572975520815
2153	PF02655.14	ATP-grasp_3	0.4857137541165599
1169	PF16912.5	Glu_dehyd_C	0.4855214929390533
2727	PF03740.13	PdxJ	0.4854284633370339
447	PF11533.8	DUF3225	0.48503773900855257
3541	PF07076.11	DUF1344	0.4847276403351547
1643	PF09678.10	Caa3_CtaG	0.48468732750761295
678	EC2.7.4.22	UMP kinase	-0.48465631764027317
1465	PF06508.13	QueC	0.4840361202934774
4439	PF07332.11	Phage_holin_3_6	0.4839089798373843
2799	PF08338.11	DUF1731	-0.4837787383945572
113	PF14534.6	DUF4440	0.48325777262324876
1715	PF03595.17	SLAC1	0.48318644992836723
1717	PF13880.6	Acetyltransf_13	-0.4830345015784023
2981	PF02452.17	PemK_toxin	0.4829569769100528
6071	PF12891.7	Glyco_hydro_44	-0.4829569769100528
982	EC3.6.3.32	ABC-type quaternary amine transporter	0.4828825532284373
263	PF00487.24	FA_desaturase	-0.48282053349375775
6138	PF17946.1	RecC_C	0.48272440290500446
693	PF01152.21	Bac_globin	0.48256005060810353
908	EC1.1.1.85	3-isopropylmalate dehydrogenase	0.48205769075719895
1181	PF13292.6	DXP_synthase_N	0.48166696642871765
463	PF08494.11	DEAD_assoc	0.4816638654419837
3323	PF03472.15	Autoind_bind	-0.4816607644552497
5778	PF11453.8	DUF2950	0.4814374934104032
287	PF16327.5	CcmF_C	0.4813382618349159
215	PF07660.14	STN	-0.4809258305992967
305	PF01522.21	Polysacc_deac_1	0.4807676802758638
5165	PF03818.13	MadM	0.48043897568206206
764	EC2.7.1.87	streptomycin 3''-kinase	-0.48042657173512615
1879	PF05280.11	FlhC	0.48013507898213215
1729	PF01740.21	STAS	0.4800420493801128
6906	PF14027.6	Questin_oxidase	-0.4798838990566799
7895	PF17989.1	ALP_N	0.4794993767016665
531	PF00496.22	SBP_bac_5	0.47889158330180664
1068	EC4.2.1.81	D(-)-tartrate dehydratase	0.47873653396510774
5704	PF00154.21	RecA	0.47825278003460703
306	EC1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	-0.4779395803744752
1343	PF04266.14	ASCH	-0.4777659251173724
1403	PF01970.16	TctA	0.47728527217360567
8724	PF11340.8	DUF3142	-0.47687904291145444
267	PF00384.22	Molybdopterin	0.47630846135240235
4225	PF10136.9	SpecificRecomb	-0.47630846135240235
1943	PF00351.21	Biopterin_H	-0.47607278636062
414	EC4.1.99.3	deoxyribodipyrimidine photo-lyase	-0.4758495153157735
8756	PF08265.11	YL1_C	0.47523862092917973
1675	PF00536.30	SAM_1	0.47493782521598377
1755	PF07647.17	SAM_2	0.4747734729190829
2132	EC5.2.1.8	peptidylprolyl isomerase	0.474612221608916
2255	PF11136.8	DUF2889	0.47361370388057483
793	PF04851.15	ResIII	0.47352067427855543
4943	PF08332.10	CaMKII_AD	0.473297403233709
5129	PF08643.10	DUF1776	0.4725903782583618
6177	PF02637.18	GatB_Yqey	0.472125230248265
375	PF13672.6	PP2C_2	0.47171279901264584
5023	PF02698.17	DUF218	0.4713902963923121
7216	PF00071.22	Ras	0.4709344513424172
2539	PF02646.16	RmuC	0.47079490693938814
3965	PF05736.11	OprF	0.47048480826599026
6865	PF17288.2	Terminase_3C	-0.46974367243656934
1375	PF00684.19	DnaJ_CXXCXGXG	0.46955451224579664
4627	PF16998.5	17kDa_Anti_2	0.4693963619223637
4849	PF06945.13	DUF1289	0.4689808297000106
174	EC6.2.1.30	phenylacetate---CoA ligase	0.4687916695092379
1825	PF01855.19	POR_N	0.46869553892048454
2307	PF08714.11	Fae	0.468624216225603
3439	PF14397.6	ATPgrasp_ST	0.467901686316586
1409	PF14361.6	RsbRD_N	0.4677094251390793
2030	EC2.7.1.168	D-glycero-alpha-D-manno-heptose-7-phosphate kinase	-0.4675140629748386
5562	PF00988.22	CPSase_sm_chain	0.46746444718709496
1969	PF16220.5	DUF4880	-0.4667543212250138
2599	PF02975.14	Me-amine-dh_L	0.46658996892811294
3047	PF02780.20	Transketolase_C	0.46600698342212493
4487	PF17938.1	TetR_C_29	0.46581472224461823
1612	EC5.1.99.4	alpha-methylacyl-CoA racemase	0.46573409658953485
1421	PF09704.10	Cas_Cas5d	0.46545190679674275
509	PF14567.6	SUKH_5	-0.46505808148152744
2533	PF00817.20	IMS	0.4649092341182965
5094	PF08140.11	Cuticle_1	0.464831709449947
2379	PF02557.17	VanY	0.4647634877417995
2011	PF12770.7	CHAT	0.464537115710219
207	PF05834.12	Lycopene_cycl	0.4645092068296132
820	EC3.1.1.45	carboxymethylenebutenolidase	0.4644440861081997
187	PF13298.6	LigD_N	0.46431074367863856
165	PF05235.14	CHAD	0.4633215289104994
3891	PF13274.6	DUF4065	-0.4625431812402707
1577	PF13229.6	Beta_helix	0.4624098388107096
779	PF06042.11	NTP_transf_6	-0.46240053585050767
101	PF13679.6	Methyltransf_32	0.4623385161158281
901	PF13566.6	DUF4130	0.46214315395158745
835	PF17131.4	LolA_like	-0.46165940002108674
1985	PF00924.18	MS_channel	0.46165940002108674
6257	PF18728.1	HEPN_AbiV	-0.46112603030284244
6874	PF03705.15	CheR_N	0.46103300070082304
204	EC6.2.1.5	succinate---CoA ligase (ADP-forming)	0.4606670842662135
4100	PF07110.11	EthD	0.45999106915820615
8535	PF14456.6	alpha-hel2	0.45987943363578293
2527	PF08924.11	DUF1906	-0.45987013067558097
1609	PF01040.18	UbiA	0.45947010338689775
6340	PF17678.1	Glyco_hydro_92N	-0.459284044182859
442	EC6.3.4.20	7-cyano-7-deazaguanine synthase	0.4592623372757212
679	PF03807.17	F420_oxidored	0.4592592362889872
1880	EC1.13.11.8	protocatechuate 4,5-dioxygenase	-0.4587475734778807
1109	PF11684.8	DUF3280	0.4584870905922265
5136	PF14568.6	SUKH_6	-0.4579878317280559
2557	PF00176.23	SNF2_N	0.45751027977102315
1490	EC2.4.2.10	orotate phosphoribosyltransferase	0.45668851828651885
751	PF01569.21	PAP2	0.45666060940591297
5100	PF01450.19	IlvC	0.4564838531620762
469	PF09490.10	CbtA	0.4564125304671947
38	EC1.1.1.37	malate dehydrogenase	-0.45631019790497335
3315	PF12681.7	Glyoxalase_2	-0.45621096632948605
1594	EC4.3.1.18	D-serine ammonia-lyase	-0.45614584560807253
8802	PF09830.9	ATP_transf	0.45593187752342795
6343	PF07971.12	Glyco_hydro_92	-0.4555008403674049
2789	PF12571.8	DUF3751	-0.454325566395227
727	PF05893.14	LuxC	0.4542201328462717
3785	PF13503.6	DUF4123	-0.4536340463535497
6623	PF03280.14	Lipase_chap	-0.45348519899031875
1203	PF00512.25	HisKA	0.45322781709139853
1813	PF05016.15	ParE_toxin	0.45320611018426066
251	PF00484.19	Pro_CA	0.45293942532513853
6136	PF03237.15	Terminase_6	-0.4523099250181408
3735	PF02572.15	CobA_CobO_BtuR	0.45208665397329434
2501	PF04023.14	FeoA	-0.45178585826009837
730	EC4.2.1.1	carbonic anhydrase	0.45148506254690246
42	EC4.3.1.7	ethanolamine ammonia-lyase	0.45141684083875494
5331	PF14302.6	DUF4377	-0.45141373985202093
6056	PF00490.21	ALAD	0.45141373985202093
8857	PF11480.8	ImmE5	-0.4513672250510113
4745	PF04224.12	DUF417	0.4513176092632676
2178	PF14026.6	DUF4242	0.451116045125559
2939	PF10588.9	NADH-G_4Fe-4S_3	0.4505826754073146
6350	PF17764.1	PriA_3primeBD	0.4504028181767438
923	PF00463.21	ICL	0.4503501014022662
1185	PF09130.11	DUF1932	0.4502508698267789
5498	PF18319.1	PriA_CRR	0.4499531751003169
5959	PF18074.1	PriA_C	0.4499531751003169
5597	PF13772.6	AIG2_2	-0.4497019951748647
261	PF00392.21	GntR	0.4496647833340569
244	EC3.2.1.21	beta-glucosidase	-0.44961516754631325
5271	PF02230.16	Abhydrolase_2	0.4493298767667872
700	EC1.1.1.237	hydroxyphenylpyruvate reductase	0.4492492511117038
1192	EC6.3.2.2	glutamate---cysteine ligase	0.44890194059749816
703	PF07978.13	NIPSNAP	0.44853292317615473
3195	PF00916.20	Sulfate_transp	0.4480212603650482
6597	PF13395.6	HNH_4	0.44787241300181724
939	PF04773.13	FecR	-0.44749099163353784
167	PF13452.6	MaoC_dehydrat_N	0.4466599271888315
5144	PF06725.11	3D	0.44652038278580247
1927	PF08666.12	SAF	0.4464893729184627
8757	PF04381.12	RdgC	0.4463343235817638
25	PF00662.20	Proton_antipo_N	-0.4461761732583308
4269	PF00825.18	Ribonuclease_P	0.44570172228803207
2967	PF17886.1	ArsA_HSP20	0.44536991670749637
7305	PF08719.11	DUF1768	0.4450970298749062
6023	PF02586.14	SRAP	0.4450691209943004
847	PF01066.21	CDP-OH_P_transf	0.4450598180340985
9	PF01436.21	NHL	0.44494198053820727
769	PF02775.21	TPP_enzyme_C	0.4445357512760561
5655	PF00367.20	PTS_EIIB	0.4445016404219823
770	EC6.2.1.9	malate---CoA ligase	-0.44449543844851436
4141	PF03321.13	GH3	-0.4442070466822543
3259	PF00465.19	Fe-ADH	0.443958967743536
233	PF14414.6	WHH	-0.44392485688946226
1083	PF14748.6	P5CR_dimer	0.443233336847785
139	PF02460.18	Patched	-0.4429108342274512
735	PF07944.12	Glyco_hydro_127	-0.4425759276601815
172	EC1.3.1.42	12-oxophytodienoate reductase	-0.4424642921377583
2811	PF04966.12	OprB	-0.44231854576126123
2941	PF00899.21	ThiF	0.4421945062919021
299	PF03331.13	LpxC	-0.4420921737296808
1367	PF14827.6	dCache_3	0.4420828707694789
3561	PF02595.15	Gly_kinase	0.44184719577769654
2543	PF08401.11	DUF1738	0.4416394296665199
5872	PF10145.9	PhageMin_Tail	-0.4413014221125162
6176	PF14460.6	Prok-E2_D	0.44100372738605426
5326	PF00293.28	NUDIX	0.4405602862830953
4669	PF01904.18	DUF72	0.44041453990659835
6199	PF17862.1	AAA_lid_3	0.4403742270790566
7589	PF05860.13	Haemagg_act	0.4403711260923226
4111	PF13597.6	NRDD	-0.4403060053709091
1957	PF18011.1	Catalase_C	0.4399897047240432
2114	EC1.3.1.56	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	-0.43984395834754625
2709	PF14580.6	LRR_9	-0.4397106159179851
924	EC2.7.6.1	ribose-phosphate diphosphokinase	0.4395245567139464
59	PF01676.18	Metalloenzyme	-0.4395121527670105
2145	PF03330.18	DPBB_1	0.43947494092620276
1099	PF00215.24	OMPdecase	0.43918034718647475
942	EC1.8.1.7	glutathione-disulfide reductase	-0.43882993568553513
5439	PF09296.11	NUDIX-like	0.43874620904371775
5228	PF15975.5	Flot	-0.43871209818964396
4993	PF04371.15	PAD_porph	-0.43820663735200543
611	PF04324.15	Fer2_BFD	0.43808569886938026
683	PF00596.21	Aldolase_II	0.43790894262554353
1455	PF00211.20	Guanylate_cyc	0.43757093507153977
5514	PF11697.8	DUF3293	0.4372980482389497
6150	PF00411.19	Ribosomal_S11	-0.43712129199511285
1440	EC4.2.1.24	porphobilinogen synthase	0.4369197278574043
5402	PF12200.8	DUF3597	0.4368980209502664
3505	PF13685.6	Fe-ADH_2	0.4365910232636025
7206	PF06804.11	Lipoprotein_18	0.4364359739269036
915	PF09414.10	RNA_ligase	0.4363584492585541
599	PF02446.17	Glyco_hydro_77	0.4363491462983522
7418	PF04444.14	Dioxygenase_N	0.4355552936944536
8214	PF10734.9	DUF2523	-0.43554599073425165
1228	EC3.5.4.44	ectoine hydrolase	0.43550257691997596
1213	PF08352.12	oligo_HPY	0.4353816384373508
4203	PF11168.8	DUF2955	0.435059135817017
6409	PF06267.12	DUF1028	0.4349475002945938
972	EC1.1.1.304	diacetyl reductase [(S)-acetoin forming]	0.43489788450685013
