locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
H16_RS00220	H16_RS00220	1	NC_008313	64164	64487	+		nucleotide pyrophosphohydrolase
H16_RS00225	H16_RS00225	1	NC_008313	64760	65290	+		hypothetical protein
H16_RS00230	H16_RS00230	1	NC_008313	65293	66270	-		hypothetical protein
H16_RS00235	H16_RS00235	1	NC_008313	66381	66884	-		DUF2938 domain-containing protein
H16_RS00240	H16_RS00240	1	NC_008313	66877	67767	-		class I SAM-dependent methyltransferase
H16_RS00245	H16_RS00245	1	NC_008313	67842	68276	+		MerR family transcriptional regulator
H16_RS00250	H16_RS00250	1	NC_008313	68388	70187	-		methyl-accepting chemotaxis protein
H16_RS00255	H16_RS00255	1	NC_008313	70749	71918	+		DUF4382 domain-containing protein
H16_RS00260	H16_RS00260	1	NC_008313	72060	72965	+		DUF72 domain-containing protein
H16_RS00265	H16_RS00265	1	NC_008313	72999	74408	+		ATP-dependent RNA helicase DbpA
H16_RS00270	H16_RS00270	1	NC_008313	74441	75556	-		DUF2855 family protein
H16_RS00275	H16_RS00275	1	NC_008313	75622	76335	+		TetR/AcrR family transcriptional regulator
H16_RS00280	H16_RS00280	1	NC_008313	76478	76918	+		CBS domain-containing protein
H16_RS00285	H16_RS00285	1	NC_008313	76990	78030	-		aromatic ring-hydroxylating dioxygenase subunit alpha
H16_RS00290	H16_RS00290	1	NC_008313	78354	79844	+		MFS transporter
H16_RS00295	H16_RS00295	1	NC_008313	79927	80535	+		glutathione peroxidase
H16_RS00300	H16_RS00300	1	NC_008313	80560	81186	-		glutathione transferase GstA
H16_RS00305	H16_RS00305	1	NC_008313	81320	82057	-		Asp/Glu/hydantoin racemase
H16_RS00310	H16_RS00310	1	NC_008313	82131	83552	-		dihydropyrimidinase
H16_RS00315	H16_RS00315	1	NC_008313	83557	84285	-		Asp/Glu/hydantoin racemase
H16_RS00320	H16_RS00320	1	NC_008313	84375	85673	-		MFS transporter
H16_RS00325	H16_RS00325	1	NC_008313	85832	86590	+		GntR family transcriptional regulator
H16_RS00330	H16_RS00330	1	NC_008313	86616	87464	+		FAA hydrolase family protein
H16_RS00335	H16_RS00335	1	NC_008313	87734	88981	+		amidohydrolase
H16_RS00340	H16_RS00340	1	NC_008313	89000	89785	-		AraC family transcriptional regulator
H16_RS00345	H16_RS00345	1	NC_008313	90004	91236	+		MFS transporter
H16_RS00350	H16_RS00350	1	NC_008313	91240	91791	-		MarR family transcriptional regulator
H16_RS00355	H16_RS00355	1	NC_008313	91898	92812	+		ABC transporter permease
H16_RS00360	H16_RS00360	1	NC_008313	92860	93159	+		hypothetical protein
H16_RS00365	H16_RS00365	1	NC_008313	93276	94259	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS00370	H16_RS00370	1	NC_008313	94262	94942	-		response regulator transcription factor
H16_RS00375	H16_RS00375	1	NC_008313	95164	95901	+		response regulator transcription factor
H16_RS00380	H16_RS00380	1	NC_008313	95898	96623	+		HAMP domain-containing histidine kinase
H16_RS00385	H16_RS00385	1	NC_008313	96675	97772	-		porin
H16_RS00390	H16_RS00390	1	NC_008313	98139	98393	-		cell division topological specificity factor MinE
H16_RS00395	H16_RS00395	1	NC_008313	98415	99230	-		septum site-determining protein MinD
H16_RS00400	H16_RS00400	1	NC_008313	99298	100110	-		septum site-determining protein MinC
H16_RS00405	H16_RS00405	1	NC_008313	100341	101312	+		magnesium and cobalt transport protein CorA
H16_RS00410	H16_RS00410	1	NC_008313	101467	102171	+		sel1 repeat family protein
H16_RS00415	H16_RS00415	1	NC_008313	102276	103106	-		MerR family transcriptional regulator
H16_RS00420	H16_RS00420	1	NC_008313	103205	104149	+		LysR family transcriptional regulator
H16_RS00425	H16_RS00425	1	NC_008313	104272	105240	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS00430	H16_RS00430	1	NC_008313	105359	106333	+		succinylglutamate desuccinylase
H16_RS00435	H16_RS00435	1	NC_008313	106422	106964	-		hypothetical protein
H16_RS00440	H16_RS00440	1	NC_008313	107104	107307	-		hypothetical protein
H16_RS00445	H16_RS00445	1	NC_008313	107338	107907	-		hypothetical protein
H16_RS00450	H16_RS00450	1	NC_008313	107949	109193	-		glycosyltransferase
H16_RS00455	H16_RS00455	1	NC_008313	109295	110251	-		LysR family transcriptional regulator
H16_RS00460	H16_RS00460	1	NC_008313	110432	111406	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS00465	H16_RS00465	1	NC_008313	111454	112656	+		CoA transferase
H16_RS00470	H16_RS00470	1	NC_008313	112722	113495	+		enoyl-CoA hydratase/isomerase family protein
H16_RS00475	H16_RS00475	1	NC_008313	113551	115905	+		acyl-CoA dehydrogenase
H16_RS00480	H16_RS00480	1	NC_008313	115939	116934	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS00485	H16_RS00485	1	NC_008313	116951	118378	-		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
H16_RS00490	H16_RS00490	1	NC_008313	118450	119403	-		CHAD domain-containing protein
H16_RS00495	H16_RS00495	1	NC_008313	119446	119883	+		PaaI family thioesterase
H16_RS00500	H16_RS00500	1	NC_008313	119915	120301	+		VOC family protein
H16_RS00505	H16_RS00505	1	NC_008313	120310	121080	-		trans-aconitate 2-methyltransferase
H16_RS00510	H16_RS00510	1	NC_008313	121158	122615	-		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
H16_RS00515	H16_RS00515	1	NC_008313	122706	123797	-		dienelactone hydrolase family protein
H16_RS00520	H16_RS00520	1	NC_008313	123815	124291	-		hypothetical protein
H16_RS00525	H16_RS00525	1	NC_008313	124288	125793	-		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
H16_RS00530	H16_RS00530	1	NC_008313	125886	126185	-		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
H16_RS00535	H16_RS00535	1	NC_008313	126775	127818	+		rod shape-determining protein
H16_RS00540	H16_RS00540	1	NC_008313	128015	128980	+		rod shape-determining protein MreC
H16_RS00545	H16_RS00545	1	NC_008313	128977	129489	+		rod shape-determining protein MreD
H16_RS00550	H16_RS00550	1	NC_008313	129543	131849	+		penicillin-binding protein 2
H16_RS00555	H16_RS00555	1	NC_008313	131861	133003	+		rod shape-determining protein RodA
H16_RS00560	H16_RS00560	1	NC_008313	133093	133779	+		DUF484 family protein
H16_RS00565	H16_RS00565	1	NC_008313	133805	134884	+		tyrosine recombinase XerC
H16_RS00570	H16_RS00570	1	NC_008313	134886	135842	-		transcriptional regulator GcvA
H16_RS00575	H16_RS00575	1	NC_008313	136091	136459	+		DUF2917 domain-containing protein
H16_RS00580	H16_RS00580	1	NC_008313	136630	137385	+		lipoyl(octanoyl) transferase LipB
H16_RS00585	H16_RS00585	1	NC_008313	137426	138421	+		lipoyl synthase
H16_RS00590	H16_RS00590	1	NC_008313	138663	139310	+		5-oxoprolinase subunit PxpB
H16_RS00595	H16_RS00595	1	NC_008313	139307	140326	+		biotin-dependent carboxyltransferase family protein
H16_RS00600	H16_RS00600	1	NC_008313	140382	141122	+		5-oxoprolinase subunit PxpA
H16_RS00605	H16_RS00605	1	NC_008313	141223	141951	+		DUF969 domain-containing protein
H16_RS00610	H16_RS00610	1	NC_008313	141962	142912	+		DUF979 domain-containing protein
H16_RS00615	H16_RS00615	1	NC_008313	142928	143578	+		pyroglutamyl-peptidase I
H16_RS00620	H16_RS00620	1	NC_008313	143591	144841	-		teicoplanin resistance protein VanZ
H16_RS00625	H16_RS00625	1	NC_008313	144861	145550	-		ABC transporter
H16_RS00630	H16_RS00630	1	NC_008313	145561	146502	-		MCE family protein
H16_RS00635	H16_RS00635	1	NC_008313	146499	147353	-		ABC transporter ATP-binding protein
H16_RS00640	H16_RS00640	1	NC_008313	147350	148486	-		ABC transporter permease
H16_RS00645	H16_RS00645	1	NC_008313	148658	149539	+		biotin--[acetyl-CoA-carboxylase] ligase
H16_RS00650	H16_RS00650	1	NC_008313	149536	150378	+		type III pantothenate kinase
H16_RS00655	H16_RS00655	1	NC_008313	150420	151136	+		SPOR domain-containing protein
H16_RS00660	H16_RS00660	1	NC_008313	151152	151646	-		D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
H16_RS00665	H16_RS00665	1	NC_008313	152364	153227	-		ferritin
H16_RS00670	H16_RS00670	1	NC_008313	153428	154693	-		patatin
H16_RS00675	H16_RS00675	1	NC_008313	154731	155522	-		hypothetical protein
H16_RS00680	H16_RS00680	1	NC_008313	155597	156430	-		enoyl-CoA hydratase/isomerase family protein
H16_RS00685	H16_RS00685	1	NC_008313	156550	157530	-		FAA hydrolase family protein
H16_RS00690	H16_RS00690	1	NC_008313	157613	158611	-		tripartite tricarboxylate transporter substrate binding protein
H16_RS00695	H16_RS00695	1	NC_008313	158791	159624	+		IclR family transcriptional regulator
H16_RS33595	H16_RS33595	7	NC_008313	159737	160675	+		hypothetical protein
H16_RS00705	H16_RS00705	1	NC_008313	160727	161569	+		alpha/beta fold hydrolase
H16_RS00710	H16_RS00710	1	NC_008313	161795	162052	+		DUF3567 domain-containing protein
H16_RS00715	H16_RS00715	1	NC_008313	162125	162517	-		rhodanese-like domain-containing protein
H16_RS00725	H16_RS00725	7	NC_008313	162746	166572	+		methionine synthase
H16_RS00730	H16_RS00730	1	NC_008313	166836	167297	+		hypothetical protein
H16_RS00735	H16_RS00735	1	NC_008313	167608	168240	+		response regulator transcription factor
H16_RS00740	H16_RS00740	1	NC_008313	168286	168693	+		response regulator
H16_RS00745	H16_RS00745	1	NC_008313	168743	170146	-		sensor histidine kinase
H16_RS33980	H16_RS33980	1	NC_008313	170431	170598	+		DUF1328 domain-containing protein
H16_RS00755	H16_RS00755	1	NC_008313	170651	171079	+		DUF883 domain-containing protein
H16_RS00760	H16_RS00760	1	NC_008313	171256	171576	-		DUF1840 domain-containing protein
H16_RS00765	H16_RS00765	1	NC_008313	171841	173628	+		arginine--tRNA ligase
H16_RS00770	H16_RS00770	1	NC_008313	173745	174470	+		cell division protein FtsN
H16_RS00775	H16_RS00775	1	NC_008313	174637	175272	+		thiol:disulfide interchange protein DsbA/DsbL
H16_RS00780	H16_RS00780	1	NC_008313	175378	176184	+		SDR family oxidoreductase
H16_RS00785	H16_RS00785	1	NC_008313	176187	177020	+		periplasmic metal ion-binding protein
H16_RS00790	H16_RS00790	1	NC_008313	177026	178102	-		MBL fold metallo-hydrolase
H16_RS00795	H16_RS00795	1	NC_008313	178308	178772	+		MerR family DNA-binding transcriptional regulator
H16_RS00800	H16_RS00800	1	NC_008313	178900	179376	+		PaaI family thioesterase
H16_RS00805	H16_RS00805	1	NC_008313	179441	180622	+		isovaleryl-CoA dehydrogenase
H16_RS00810	H16_RS00810	1	NC_008313	180734	182575	+		bifunctional isocitrate dehydrogenase kinase/phosphatase
H16_RS00815	H16_RS00815	1	NC_008313	182572	183243	+		carbonate dehydratase
H16_RS00820	H16_RS00820	1	NC_008313	183291	184469	+		acetyl-CoA C-acyltransferase
H16_RS00825	H16_RS00825	1	NC_008313	184600	185280	+		SDR family oxidoreductase
H16_RS00830	H16_RS00830	1	NC_008313	185311	186441	+		butyryl-CoA dehydrogenase
H16_RS00835	H16_RS00835	1	NC_008313	186529	187185	+		2-hydroxychromene-2-carboxylate isomerase
H16_RS00840	H16_RS00840	1	NC_008313	187182	187868	+		HAD family phosphatase
H16_RS00845	H16_RS00845	1	NC_008313	187865	188302	+		hypothetical protein
H16_RS00850	H16_RS00850	1	NC_008313	188299	188976	+		glutathione S-transferase
H16_RS00855	H16_RS00855	1	NC_008313	189030	190637	+		methylcrotonoyl-CoA carboxylase
H16_RS00860	H16_RS00860	1	NC_008313	190680	191576	+		dienelactone hydrolase
H16_RS00865	H16_RS00865	1	NC_008313	191615	192403	+		enoyl-CoA hydratase/isomerase family protein
H16_RS00870	H16_RS00870	1	NC_008313	192732	194234	+		adenosylmethionine--8-amino-7-oxononanoate transaminase
H16_RS00875	H16_RS00875	1	NC_008313	194224	195438	+		8-amino-7-oxononanoate synthase
H16_RS00880	H16_RS00880	1	NC_008313	195435	196172	+		dethiobiotin synthase
H16_RS00885	H16_RS00885	1	NC_008313	196192	197223	+		biotin synthase
H16_RS00890	H16_RS00890	1	NC_008313	197288	199315	+		acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
H16_RS00895	H16_RS00895	1	NC_008313	199420	200361	+		glyoxylate/hydroxypyruvate reductase A
H16_RS00900	H16_RS00900	1	NC_008313	200399	201334	+		hydroxymethylglutaryl-CoA lyase
H16_RS00905	H16_RS00905	1	NC_008313	201376	201876	+		YbaK/EbsC family protein
H16_RS00910	H16_RS00910	1	NC_008313	201873	202301	+		thioesterase
H16_RS00915	H16_RS00915	1	NC_008313	202312	202572	+		DUF1289 domain-containing protein
H16_RS00920	H16_RS00920	1	NC_008313	202542	203498	+		MBL fold metallo-hydrolase
H16_RS00925	H16_RS00925	1	NC_008313	203521	205716	-		TonB-dependent receptor
H16_RS00930	H16_RS00930	1	NC_008313	205876	206334	-		hypothetical protein
H16_RS00935	H16_RS00935	1	NC_008313	206267	207535	-		GTP-binding protein
H16_RS00940	H16_RS00940	1	NC_008313	207767	208186	-		RNA polymerase-binding protein DksA
H16_RS00945	H16_RS00945	1	NC_008313	208797	209897	-		GTP-binding protein
H16_RS00950	H16_RS00950	1	NC_008313	209928	210464	-		transcriptional repressor
H16_RS00955	H16_RS00955	1	NC_008313	210606	211505	+		alpha/beta hydrolase
H16_RS00960	H16_RS00960	1	NC_008313	211801	212787	+		hypothetical protein
H16_RS00965	H16_RS00965	1	NC_008313	213006	213542	+		ATP-dependent protease subunit HslV
H16_RS00970	H16_RS00970	1	NC_008313	213593	214924	+		ATP-dependent protease ATPase subunit HslU
H16_RS00975	H16_RS00975	1	NC_008313	215182	215478	+		hypothetical protein
H16_RS00980	H16_RS00980	1	NC_008313	215532	216143	-		response regulator transcription factor
H16_RS00985	H16_RS00985	1	NC_008313	216140	217528	-		HAMP domain-containing histidine kinase
H16_RS00990	H16_RS00990	1	NC_008313	217705	218193	+		copper chaperone PCu(A)C
H16_RS00995	H16_RS00995	1	NC_008313	218372	219307	-		LysR family transcriptional regulator
H16_RS01000	H16_RS01000	1	NC_008313	219401	219931	+		DMT family transporter
H16_RS01005	H16_RS01005	1	NC_008313	219904	220134	-		hypothetical protein
H16_RS01010	H16_RS01010	1	NC_008313	220489	221406	+		acetylglutamate kinase
H16_RS01015	H16_RS01015	1	NC_008313	221479	222417	+		pyrimidine 5'-nucleotidase
H16_RS01020	H16_RS01020	1	NC_008313	222414	223085	+		nucleoid occlusion factor SlmA
H16_RS01025	H16_RS01025	1	NC_008313	223540	224721	+		homoserine O-acetyltransferase
H16_RS01030	H16_RS01030	1	NC_008313	224718	225329	+		methionine biosynthesis protein MetW
H16_RS01035	H16_RS01035	1	NC_008313	225340	225768	-		glyoxalase
H16_RS01040	H16_RS01040	1	NC_008313	225851	226423	+		TetR family transcriptional regulator
H16_RS01045	H16_RS01045	1	NC_008313	226424	227338	-		LysR family transcriptional regulator
H16_RS01050	H16_RS01050	1	NC_008313	227449	228336	+		DMT family transporter
H16_RS01055	H16_RS01055	1	NC_008313	228462	229310	+		thioesterase family protein
H16_RS01060	H16_RS01060	1	NC_008313	229324	230583	-		muropeptide transporter
H16_RS01065	H16_RS01065	1	NC_008313	230734	231696	+		M48 family peptidase
H16_RS01070	H16_RS01070	1	NC_008313	231767	232714	-		N-acetyl-gamma-glutamyl-phosphate reductase
H16_RS01075	H16_RS01075	1	NC_008313	232893	233195	+		type II toxin-antitoxin system MqsR family toxin
H16_RS01080	H16_RS01080	1	NC_008313	233227	233628	+		type II toxin-antitoxin system MqsA family antitoxin
H16_RS01085	H16_RS01085	1	NC_008313	233638	234414	-		exodeoxyribonuclease III
H16_RS01090	H16_RS01090	1	NC_008313	234445	235128	+		orotate phosphoribosyltransferase
H16_RS01095	H16_RS01095	1	NC_008313	235215	236564	+		membrane protein
H16_RS01100	H16_RS01100	1	NC_008313	236579	237388	-		polyphosphate kinase 2 family protein
H16_RS01105	H16_RS01105	1	NC_008313	237496	238362	-		diaminopimelate epimerase
H16_RS01110	H16_RS01110	1	NC_008313	238405	239298	-		lauroyl acyltransferase
H16_RS01115	H16_RS01115	1	NC_008313	239295	240191	-		lysophospholipid acyltransferase family protein
H16_RS01120	H16_RS01120	1	NC_008313	240523	241686	+		methionine adenosyltransferase
H16_RS01125	H16_RS01125	1	NC_008313	241889	242830	+		hypothetical protein
H16_RS01130	H16_RS01130	1	NC_008313	242831	244234	-		coniferyl aldehyde dehydrogenase
H16_RS01135	H16_RS01135	1	NC_008313	244550	246229	+		GMC family oxidoreductase
H16_RS01140	H16_RS01140	1	NC_008313	246234	247895	-		isovaleryl-CoA dehydrogenase
H16_RS01145	H16_RS01145	1	NC_008313	248296	250176	+		phosphomethylpyrimidine synthase ThiC
H16_RS01150	H16_RS01150	1	NC_008313	250313	251506	+		FAD-dependent oxidoreductase
H16_RS01155	H16_RS01155	1	NC_008313	251519	251716	+		sulfur carrier protein ThiS
H16_RS01160	H16_RS01160	1	NC_008313	251720	252556	+		thiazole synthase
H16_RS01165	H16_RS01165	1	NC_008313	252553	253689	+		thiamine phosphate synthase
H16_RS01170	H16_RS01170	1	NC_008313	253704	254213	+		GNAT family N-acetyltransferase
H16_RS01175	H16_RS01175	1	NC_008313	254330	254782	+		PaaI family thioesterase
H16_RS01180	H16_RS01180	1	NC_008313	254804	255238	-		hypothetical protein
H16_RS01185	H16_RS01185	1	NC_008313	255244	256116	-		bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
H16_RS01190	H16_RS01190	1	NC_008313	256368	257786	+		adenosylhomocysteinase
H16_RS01195	H16_RS01195	1	NC_008313	257858	258208	+		phage holin family protein
H16_RS01200	H16_RS01200	1	NC_008313	258270	259100	+		methylenetetrahydrofolate reductase [NAD(P)H]
H16_RS01205	H16_RS01205	1	NC_008313	259109	259468	+		TfoX family protein
H16_RS01210	H16_RS01210	1	NC_008313	259566	260324	+		hypothetical protein
H16_RS01215	H16_RS01215	1	NC_008313	260321	260905	-		5-formyltetrahydrofolate cyclo-ligase
H16_RS01220	H16_RS01220	1	NC_008313	261011	262963	+		lytic transglycosylase
H16_RS01225	H16_RS01225	1	NC_008313	263070	264092	+		complex I NDUFA9 subunit family protein
H16_RS01230	H16_RS01230	1	NC_008313	264278	264976	+		glutathione S-transferase family protein
H16_RS01235	H16_RS01235	1	NC_008313	265032	266267	+		multifunctional CCA addition/repair protein
H16_RS01240	H16_RS01240	1	NC_008313	266456	266893	-		universal stress protein
H16_RS01245	H16_RS01245	7	NC_008313	267031	267270	-		amino acid ABC transporter substrate-binding protein
H16_RS01250	H16_RS01250	1	NC_008313	267277	267471	-		DUF2905 domain-containing protein
H16_RS01255	H16_RS01255	1	NC_008313	267488	268687	-		class I SAM-dependent methyltransferase
H16_RS01260	H16_RS01260	1	NC_008313	268703	269557	+		SDR family oxidoreductase
H16_RS01265	H16_RS01265	1	NC_008313	269644	270045	+		dihydroneopterin aldolase
H16_RS01270	H16_RS01270	1	NC_008313	270155	271099	+		tRNA 2-thiocytidine(32) synthetase TtcA
H16_RS01275	H16_RS01275	1	NC_008313	271164	271991	-		hypothetical protein
H16_RS01280	H16_RS01280	1	NC_008313	272282	273646	+		UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
H16_RS01285	H16_RS01285	1	NC_008313	273764	275602	+		glutamine--fructose-6-phosphate transaminase (isomerizing)
H16_RS01290	H16_RS01290	7	NC_008313	275679	276092	-		hypothetical protein
H16_RS01295	H16_RS01295	1	NC_008313	276246	277187	-		LysR family transcriptional regulator
H16_RS01300	H16_RS01300	1	NC_008313	277294	278286	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS01305	H16_RS01305	1	NC_008313	278581	279057	+		bacterioferritin
H16_RS01310	H16_RS01310	5	NC_008313	279140	279214	+		tRNA-Cys
H16_RS01315	H16_RS01315	1	NC_008313	279533	279976	+		GNAT family N-acetyltransferase
H16_RS01320	H16_RS01320	1	NC_008313	280001	280990	-		cation transporter
H16_RS01325	H16_RS01325	1	NC_008313	281368	282828	-		PLP-dependent aminotransferase family protein
H16_RS01330	H16_RS01330	1	NC_008313	283157	284488	+		aspartate aminotransferase family protein
H16_RS01335	H16_RS01335	1	NC_008313	284597	286114	+		CoA-acylating methylmalonate-semialdehyde dehydrogenase
H16_RS01340	H16_RS01340	1	NC_008313	286128	286478	+		glyoxalase
H16_RS01345	H16_RS01345	1	NC_008313	286485	287462	-		helix-turn-helix domain-containing protein
H16_RS01350	H16_RS01350	1	NC_008313	287629	288879	+		MFS transporter
H16_RS01355	H16_RS01355	1	NC_008313	288887	289090	+		hypothetical protein
H16_RS01360	H16_RS01360	1	NC_008313	289267	290664	+		amino acid permease
H16_RS01365	H16_RS01365	1	NC_008313	290671	292077	-		PLP-dependent aminotransferase family protein
H16_RS01370	H16_RS01370	1	NC_008313	292302	292640	+		DUF2917 domain-containing protein
H16_RS01375	H16_RS01375	1	NC_008313	292924	296214	+		methylmalonyl-CoA mutase
H16_RS01380	H16_RS01380	1	NC_008313	296357	296794	+		HIT family protein
H16_RS01385	H16_RS01385	1	NC_008313	296846	297700	+		3-hydroxybutyryl-CoA dehydrogenase
H16_RS33985	H16_RS33985	1	NC_008313	297885	298226	+		hypothetical protein
H16_RS01390	H16_RS01390	1	NC_008313	298276	298698	-		DUF3293 domain-containing protein
H16_RS01395	H16_RS01395	1	NC_008313	298700	299368	-		Crp/Fnr family transcriptional regulator
H16_RS01400	H16_RS01400	1	NC_008313	299606	301564	+		long-chain fatty acid--CoA ligase
H16_RS01405	H16_RS01405	1	NC_008313	301579	302541	+		ABC transporter ATP-binding protein
H16_RS01410	H16_RS01410	1	NC_008313	302553	303467	+		branched-chain amino acid ABC transporter permease
H16_RS01415	H16_RS01415	1	NC_008313	303492	304568	+		branched-chain amino acid ABC transporter permease
H16_RS01420	H16_RS01420	1	NC_008313	304659	305996	+		ABC transporter permease
H16_RS01425	H16_RS01425	1	NC_008313	306075	306893	+		ABC transporter ATP-binding protein
H16_RS01430	H16_RS01430	1	NC_008313	306980	308230	+		phenylacetate--CoA ligase family protein
H16_RS01435	H16_RS01435	1	NC_008313	308279	308647	-		DUF454 domain-containing protein
H16_RS01440	H16_RS01440	1	NC_008313	308767	309744	-		nitronate monooxygenase
H16_RS01445	H16_RS01445	1	NC_008313	309871	311307	-		two-component system sensor histidine kinase CreC
H16_RS01450	H16_RS01450	1	NC_008313	311317	312006	-		two-component system response regulator CreB
H16_RS01455	H16_RS01455	1	NC_008313	312266	313393	-		NAD(P)/FAD-dependent oxidoreductase
H16_RS01460	H16_RS01460	1	NC_008313	313632	314957	-		sigma-54-dependent Fis family transcriptional regulator
H16_RS01465	H16_RS01465	1	NC_008313	314966	316963	-		sensor histidine kinase
H16_RS01470	H16_RS01470	1	NC_008313	317046	318344	-		dicarboxylate/amino acid:cation symporter
H16_RS01475	H16_RS01475	1	NC_008313	318738	319058	+		ferredoxin
